<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240205;095936;277.000000000;10;9523274854;S
20240205;095936;277.000000000;1790;9523274855;S
20240205;095936;277.000000000;10;9523274856;S
20240205;095936;277.000000000;10;9523274857;S
20240205;095936;277.000000000;120;9523274858;S
20240205;095936;277.000000000;20;9523274859;S
20240205;095936;277.000000000;570;9523274860;S
20240205;095936;277.000000000;60;9523274861;S
20240205;095936;277.000000000;10;9523274862;S
20240205;095936;277.000000000;20;9523274863;S
20240205;095936;277.000000000;10;9523274864;S
20240205;095936;277.000000000;150;9523274865;S
20240205;095936;277.000000000;80;9523274866;S
20240205;095936;277.000000000;70;9523274867;S
20240205;095936;277.000000000;40;9523274868;S
20240205;095936;277.000000000;10;9523274869;S
20240205;095936;277.000000000;50;9523274870;B
20240205;095936;277.000000000;10;9523274871;B
20240205;095936;277.000000000;260;9523274872;B
20240205;095936;277.000000000;180;9523274873;B
20240205;095936;277.000000000;10;9523274874;S
20240205;095936;277.000000000;10;9523274875;B
20240205;095936;277.000000000;10;9523274876;B
20240205;095936;277.000000000;10;9523274877;B
20240205;095936;277.000000000;60;9523274878;B
20240205;095936;277.000000000;30;9523274879;B
20240205;095936;277.000000000;40;9523274880;S
20240205;095936;277.000000000;10;9523274881;S
20240205;095936;277.000000000;30;9523274882;S
20240205;095936;277.000000000;20;9523274883;S
20240205;095936;277.000000000;10;9523274884;S
20240205;095936;277.000000000;10;9523274885;S
20240205;095936;277.000000000;10;9523274886;S
20240205;095936;277.000000000;10;9523274887;S
20240205;095936;277.000000000;10;9523274888;S
20240205;095936;277.000000000;10;9523274889;S
20240205;095936;277.000000000;20;9523274890;S
20240205;095936;277.000000000;40;9523274891;S
20240205;095936;277.000000000;10;9523274892;S
20240205;095936;277.000000000;10;9523274893;S
20240205;095936;277.000000000;40;9523274894;S
20240205;095936;277.000000000;10;9523274895;S
20240205;095936;277.000000000;20;9523274896;S
20240205;095936;277.000000000;50;9523274897;S
20240205;095936;277.000000000;10;9523274898;S
20240205;095936;277.000000000;150;9523274899;S
20240205;095936;277.000000000;10;9523274900;S
20240205;095936;277.000000000;10;9523274901;S
20240205;095936;277.000000000;10;9523274902;S
20240205;095936;277.000000000;80;9523274903;S
20240205;095936;277.000000000;210;9523274904;S
20240205;095936;277.000000000;90;9523274905;S
20240205;095936;277.000000000;30;9523274906;S
20240205;095936;277.000000000;40;9523274907;S
20240205;095936;277.000000000;10;9523274908;S
20240205;095936;277.000000000;230;9523274909;S
20240205;095936;277.000000000;20;9523274910;S
20240205;095936;277.000000000;10;9523274911;S
20240205;095936;277.000000000;10;9523274912;S
20240205;095936;277.000000000;10;9523274913;S
20240205;095936;277.000000000;10;9523274914;S
20240205;095936;277.000000000;210;9523274915;S
20240205;095936;277.000000000;10;9523274916;S
20240205;095936;277.000000000;30;9523274917;S
20240205;095936;277.000000000;80;9523274918;S
20240205;095936;277.000000000;200;9523274919;S
20240205;095936;277.000000000;10;9523274920;S
20240205;095936;277.000000000;10;9523274921;S
20240205;095936;277.000000000;10;9523274922;B
20240205;095936;277.000000000;20;9523274923;B
20240205;095936;277.000000000;10;9523274924;B
20240205;095936;277.000000000;20;9523274925;B
20240205;095936;277.000000000;10;9523274926;B
20240205;095936;277.000000000;20;9523274927;B
20240205;095936;277.000000000;10;9523274928;B
20240205;095936;277.000000000;70;9523274929;B
20240205;095936;277.000000000;180;9523274930;B
20240205;095936;277.000000000;20;9523274931;B
20240205;095936;277.000000000;10;9523274932;B
20240205;095936;277.000000000;10;9523274933;B
20240205;095936;277.000000000;10;9523274934;B
20240205;095936;277.000000000;30;9523274935;B
20240205;095936;277.000000000;10;9523274936;B
20240205;095936;277.000000000;30;9523274937;B
20240205;095936;277.000000000;10;9523274938;B
20240205;095936;277.000000000;40;9523274939;B
20240205;095936;277.000000000;10;9523274940;B
20240205;095936;277.000000000;80;9523274941;B
20240205;095936;277.000000000;90;9523274942;B
20240205;095936;277.000000000;40;9523274943;B
20240205;095936;277.000000000;20;9523274944;B
20240205;095936;277.000000000;30;9523274945;B
20240205;095936;277.000000000;10;9523274946;B
20240205;095936;277.000000000;20;9523274947;B
20240205;095936;277.000000000;50;9523274948;B
20240205;095936;277.000000000;10;9523274949;B
20240205;095936;277.000000000;20;9523274950;B
20240205;095936;277.000000000;80;9523274951;B
20240205;095936;277.000000000;10;9523274952;B
20240205;095936;277.000000000;40;9523274953;B
20240205;095936;277.000000000;10;9523274954;B
20240205;095936;277.000000000;30;9523274955;B
20240205;095936;277.000000000;10;9523274956;S
20240205;095936;277.000000000;30;9523274957;S
20240205;095936;277.000000000;10;9523274958;S
20240205;095936;277.000000000;20;9523274959;S
20240205;095936;277.000000000;20;9523274960;S
20240205;095936;277.000000000;10;9523274961;S
20240205;095936;277.000000000;10;9523274962;S
20240205;095936;277.000000000;10;9523274963;S
20240205;095936;277.000000000;10;9523274964;S
20240205;095936;277.000000000;30;9523274965;S
20240205;095936;277.000000000;380;9523274966;S
20240205;095936;277.000000000;20;9523274967;S
20240205;095936;277.000000000;20;9523274968;S
20240205;095936;277.000000000;20;9523274969;S
20240205;095936;277.000000000;60;9523274970;S
20240205;095936;277.000000000;190;9523274971;B
20240205;095936;277.000000000;160;9523274972;B
20240205;095936;277.000000000;5500;9523274973;B
20240205;095936;277.000000000;10;9523274974;B
20240205;095936;277.000000000;20;9523274975;B
20240205;095936;277.000000000;200;9523274976;B
20240205;095936;277.000000000;300;9523274977;S
20240205;095936;277.000000000;140;9523274978;B
20240205;095936;277.000000000;50;9523274979;B
20240205;095936;277.000000000;40;9523274980;B
20240205;095936;277.000000000;10;9523274981;B
20240205;095936;277.000000000;1000;9523274982;B
20240205;095936;277.000000000;50;9523274983;B
20240205;095936;277.000000000;200;9523274984;B
20240205;095936;277.000000000;30;9523274985;B
20240205;095936;277.000000000;80;9523274986;S
20240205;095936;277.000000000;130;9523274987;B
20240205;095936;277.000000000;50;9523274988;B
20240205;095936;277.000000000;10;9523274989;B
20240205;095936;277.000000000;10;9523274990;B
20240205;095936;277.000000000;10;9523274991;B
20240205;095936;277.000000000;10;9523274992;B
20240205;095936;277.000000000;10;9523274993;B
20240205;095936;277.000000000;10;9523274994;B
20240205;095936;277.000000000;10;9523274995;B
20240205;095936;277.000000000;10;9523274996;B
20240205;095936;277.000000000;60;9523274997;B
20240205;095936;277.000000000;500;9523274998;B
20240205;095936;277.000000000;110;9523274999;B
20240205;095936;277.000000000;200;9523275000;B
20240205;095936;277.000000000;310;9523275001;B
20240205;095936;277.000000000;20;9523275002;B
20240205;095936;277.000000000;50;9523275003;B
20240205;095936;277.000000000;1010;9523275004;B
20240205;095936;277.000000000;10;9523275005;B
20240205;095936;277.000000000;70;9523275006;B
20240205;095936;277.000000000;10;9523275007;B
20240205;095936;277.000000000;40;9523275008;B
20240205;095936;277.000000000;50;9523275009;B
20240205;095936;277.000000000;1020;9523275010;B
20240205;095936;277.000000000;20;9523275011;B
20240205;095936;277.000000000;10;9523275012;B
20240205;095936;277.000000000;10;9523275013;B
20240205;095936;277.000000000;10;9523275014;B
20240205;095936;277.000000000;10;9523275015;B
20240205;095936;277.000000000;100;9523275016;B
20240205;095936;277.000000000;150;9523275017;B
20240205;095936;277.000000000;10;9523275018;B
20240205;095936;277.000000000;5000;9523275019;B
20240205;095936;277.000000000;10;9523275020;B
20240205;095936;277.000000000;11000;9523275021;B
20240205;095936;277.000000000;400;9523275022;B
20240205;095936;277.000000000;100;9523275023;B
20240205;095936;277.000000000;960;9523275024;B
20240205;095936;277.000000000;570;9523275025;B
20240205;095936;277.000000000;1790;9523275026;B
20240205;095936;277.000000000;500;9523275027;B
20240205;095936;277.000000000;10;9523275028;S
20240205;095936;277.000000000;10;9523275029;B
20240205;095936;277.000000000;10;9523275030;B
20240205;095936;277.000000000;250;9523275031;B
20240205;095936;277.000000000;20;9523275032;B
20240205;095936;277.000000000;100;9523275033;B
20240205;095936;277.000000000;10;9523275034;B
20240205;100000;276.940000000;90;9523283888;S
20240205;100000;276.940000000;580;9523284150;B
20240205;100000;276.940000000;1150;9523284608;B
20240205;100000;276.940000000;90;9523284612;B
20240205;100000;276.910000000;10;9523284770;S
20240205;100000;276.910000000;190;9523284771;S
20240205;100001;276.940000000;90;9523285315;B
20240205;100001;276.950000000;250;9523285316;B
20240205;100001;276.930000000;340;9523285317;S
20240205;100001;276.930000000;160;9523285382;B
20240205;100001;276.950000000;1090;9523285383;B
20240205;100001;276.950000000;370;9523285384;B
20240205;100001;276.960000000;1730;9523285385;B
20240205;100001;276.960000000;190;9523285526;B
20240205;100001;276.960000000;580;9523285544;B
20240205;100001;276.960000000;190;9523285572;S
20240205;100001;276.910000000;810;9523285590;S
20240205;100001;276.970000000;700;9523285626;S
20240205;100001;276.980000000;280;9523286122;B
20240205;100001;276.980000000;10;9523286165;B
20240205;100001;276.980000000;570;9523286582;B
20240205;100002;276.960000000;100;9523287233;S
20240205;100002;276.960000000;140;9523287344;B
20240205;100002;276.960000000;660;9523287365;B
20240205;100002;276.980000000;1090;9523287366;B
20240205;100002;276.990000000;550;9523287367;B
20240205;100002;276.980000000;1090;9523287456;B
20240205;100002;276.990000000;530;9523287457;B
20240205;100002;276.930000000;10;9523287458;S
20240205;100002;276.990000000;50;9523287656;B
20240205;100002;276.950000000;370;9523287991;S
20240205;100002;276.950000000;210;9523287992;S
20240205;100002;276.990000000;1040;9523288047;B
20240205;100002;277.000000000;2730;9523288048;B
20240205;100002;277.000000000;40;9523288049;B
20240205;100002;277.000000000;110;9523288050;B
20240205;100002;277.000000000;640;9523288051;B
20240205;100002;277.000000000;110;9523288052;B
20240205;100002;277.000000000;200;9523288053;B
20240205;100002;277.000000000;100;9523288054;B
20240205;100002;277.000000000;10;9523288055;B
20240205;100002;277.000000000;10;9523288056;B
20240205;100002;277.000000000;50;9523288057;B
20240205;100002;277.000000000;10;9523288058;B
20240205;100002;277.010000000;560;9523288064;B
20240205;100002;277.020000000;560;9523288065;B
20240205;100002;277.030000000;10;9523288066;B
20240205;100002;277.030000000;560;9523288067;B
20240205;100002;277.010000000;1010;9523288070;B
20240205;100002;277.010000000;80;9523288072;B
20240205;100002;277.040000000;20;9523288073;B
20240205;100002;277.000000000;1000;9523288170;S
20240205;100002;277.000000000;100;9523288299;S
20240205;100002;277.000000000;1500;9523288363;S
20240205;100002;277.010000000;260;9523288581;S
20240205;100003;277.010000000;600;9523288657;S
20240205;100003;277.010000000;500;9523288660;S
20240205;100003;277.030000000;100;9523288667;S
20240205;100003;277.010000000;500;9523288668;S
20240205;100003;277.040000000;100;9523288669;B
20240205;100003;277.010000000;10;9523288673;S
20240205;100003;277.010000000;290;9523288714;B
20240205;100003;277.040000000;440;9523288724;B
20240205;100003;277.050000000;50;9523288725;B
20240205;100003;277.050000000;560;9523288726;B
20240205;100003;277.050000000;550;9523288727;B
20240205;100003;277.060000000;560;9523288728;B
20240205;100003;277.070000000;430;9523288729;B
20240205;100003;277.020000000;700;9523288737;S
20240205;100003;277.020000000;100;9523288752;S
20240205;100003;277.020000000;370;9523288767;B
20240205;100003;277.020000000;720;9523288771;B
20240205;100003;277.070000000;130;9523288921;B
20240205;100003;277.070000000;370;9523288922;B
20240205;100003;277.070000000;510;9523288923;B
20240205;100003;277.030000000;30;9523288985;S
20240205;100003;277.030000000;10;9523289140;S
20240205;100003;277.030000000;370;9523289151;S
20240205;100003;277.000000000;200;9523289152;S
20240205;100003;277.000000000;10;9523289154;S
20240205;100003;277.000000000;20;9523289333;S
20240205;100003;277.030000000;10;9523289345;S
20240205;100003;277.070000000;10;9523289394;B
20240205;100003;277.030000000;20;9523289395;S
20240205;100003;277.070000000;50;9523289560;B
20240205;100004;277.030000000;200;9523289965;S
20240205;100004;277.030000000;30;9523290011;S
20240205;100004;277.070000000;30;9523290082;B
20240205;100004;277.030000000;200;9523290086;S
20240205;100004;277.070000000;310;9523290233;B
20240205;100004;277.030000000;20;9523290405;S
20240205;100004;277.030000000;10;9523290413;S
20240205;100004;277.030000000;100;9523290428;S
20240205;100004;277.070000000;600;9523290546;B
20240205;100004;277.030000000;250;9523290593;S
20240205;100004;277.030000000;200;9523290643;S
20240205;100004;277.070000000;10;9523290853;B
20240205;100005;277.030000000;200;9523291050;S
20240205;100005;277.070000000;10;9523291108;B
20240205;100005;277.060000000;100;9523291437;S
20240205;100005;277.050000000;10;9523291498;B
20240205;100005;277.030000000;10;9523291504;S
20240205;100005;277.050000000;10;9523291506;B
20240205;100005;277.050000000;60;9523291515;B
20240205;100005;277.050000000;10;9523291521;B
20240205;100005;277.030000000;10;9523291522;S
20240205;100005;277.050000000;10;9523291628;B
20240205;100005;277.050000000;270;9523291732;B
20240205;100005;277.050000000;440;9523291733;B
20240205;100005;277.030000000;80;9523291872;S
20240205;100005;277.000000000;320;9523291873;S
20240205;100005;277.000000000;200;9523291887;S
20240205;100005;277.000000000;400;9523291888;S
20240205;100005;277.000000000;200;9523291890;S
20240205;100005;277.000000000;100;9523291895;S
20240205;100005;277.000000000;700;9523291898;S
20240205;100005;277.000000000;300;9523291899;S
20240205;100005;277.000000000;20;9523292066;S
20240205;100005;277.000000000;100;9523292090;S
20240205;100005;277.000000000;30;9523292293;S
20240205;100005;277.070000000;120;9523292298;B
20240205;100005;277.070000000;50;9523292307;B
20240205;100005;277.000000000;10;9523292310;S
20240205;100005;277.070000000;10;9523292313;B
20240205;100005;277.000000000;10;9523292321;S
20240205;100005;277.070000000;10;9523292322;B
20240205;100005;277.070000000;10;9523292332;B
20240205;100005;277.070000000;30;9523292339;B
20240205;100005;277.000000000;110;9523292342;S
20240205;100005;277.070000000;10;9523292349;B
20240205;100005;277.070000000;20;9523292359;B
20240205;100005;277.000000000;10;9523292364;S
20240205;100005;277.000000000;100;9523292365;S
20240205;100005;277.070000000;50;9523292380;B
20240205;100005;277.000000000;10;9523292383;S
20240205;100005;277.000000000;70;9523292506;S
20240205;100005;277.070000000;10;9523292511;B
20240205;100005;277.070000000;10;9523292523;B
20240205;100005;277.070000000;10;9523292531;B
