<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240214;095959;287.07;10;9595806963;B
20240214;095959;287.07;30;9595806964;B
20240214;095959;287.07;20;9595806965;B
20240214;095959;287.07;70;9595806966;S
20240214;095959;287.07;10;9595806967;S
20240214;095959;287.07;190;9595806968;S
20240214;095959;287.07;2490;9595806969;S
20240214;095959;287.07;10;9595806970;S
20240214;095959;287.07;10;9595806971;S
20240214;095959;287.07;100;9595806972;S
20240214;095959;287.07;1000;9595806973;S
20240214;095959;287.07;100;9595806974;B
20240214;095959;287.07;400;9595806975;B
20240214;095959;287.07;10;9595806976;B
20240214;095959;287.07;20;9595806977;B
20240214;095959;287.07;20;9595806978;B
20240214;095959;287.07;1750;9595806979;B
20240214;095959;287.07;2800;9595806980;B
20240214;095959;287.07;10;9595806981;B
20240214;095959;287.07;10;9595806982;B
20240214;095959;287.07;10;9595806983;B
20240214;095959;287.07;10;9595806984;B
20240214;095959;287.07;20;9595806985;B
20240214;095959;287.07;10;9595806986;B
20240214;095959;287.07;10;9595806987;B
20240214;095959;287.07;10;9595806988;B
20240214;095959;287.07;10;9595806989;B
20240214;095959;287.07;200;9595806990;B
20240214;095959;287.07;10;9595806991;B
20240214;095959;287.07;40;9595806992;B
20240214;095959;287.07;10;9595806993;B
20240214;095959;287.07;100;9595806994;B
20240214;095959;287.07;20;9595806995;B
20240214;095959;287.07;750;9595806996;B
20240214;095959;287.07;10;9595806997;B
20240214;095959;287.07;10;9595806998;B
20240214;095959;287.07;10;9595806999;B
20240214;095959;287.07;100;9595807000;B
20240214;095959;287.07;10;9595807001;B
20240214;095959;287.07;100;9595807002;B
20240214;095959;287.07;200;9595807003;B
20240214;095959;287.07;70;9595807004;B
20240214;095959;287.07;500;9595807005;B
20240214;095959;287.07;10;9595807006;B
20240214;095959;287.07;70;9595807007;B
20240214;095959;287.07;300;9595807008;B
20240214;095959;287.07;10;9595807009;B
20240214;095959;287.07;10;9595807010;B
20240214;095959;287.07;10;9595807011;S
20240214;095959;287.07;10;9595807012;B
20240214;095959;287.07;40;9595807013;B
20240214;095959;287.07;6000;9595807014;S
20240214;095959;287.07;10;9595807015;B
20240214;095959;287.07;140;9595807016;B
20240214;095959;287.07;10;9595807017;S
20240214;095959;287.07;100;9595807018;B
20240214;095959;287.07;10;9595807019;B
20240214;095959;287.07;200;9595807020;B
20240214;095959;287.07;10;9595807021;B
20240214;095959;287.07;20;9595807022;B
20240214;095959;287.07;10;9595807023;B
20240214;095959;287.07;10;9595807024;B
20240214;095959;287.07;10;9595807025;B
20240214;095959;287.07;10;9595807026;B
20240214;095959;287.07;10;9595807027;B
20240214;095959;287.07;180;9595807028;B
