<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240502;095949;308.7;20;10255676408;S
20240502;095949;308.7;20;10255676409;S
20240502;095949;308.7;10;10255676410;S
20240502;095949;308.7;10;10255676411;S
20240502;095949;308.7;50;10255676412;S
20240502;095949;308.7;50;10255676413;S
20240502;095949;308.7;10;10255676414;S
20240502;095949;308.7;10;10255676415;S
20240502;095949;308.7;30;10255676416;S
20240502;095949;308.7;10;10255676417;S
20240502;095949;308.7;60;10255676418;S
20240502;095949;308.7;10;10255676419;S
20240502;095949;308.7;40;10255676420;S
20240502;095949;308.7;10;10255676421;S
20240502;095949;308.7;60;10255676422;S
20240502;095949;308.7;40;10255676423;S
20240502;095949;308.7;10;10255676424;S
20240502;095949;308.7;10;10255676425;S
20240502;095949;308.7;10;10255676426;S
20240502;095949;308.7;170;10255676427;S
20240502;095949;308.7;20;10255676428;S
20240502;095949;308.7;40;10255676429;S
20240502;095949;308.7;70;10255676430;S
20240502;095949;308.7;120;10255676431;S
20240502;095949;308.7;20;10255676432;S
20240502;095949;308.7;20;10255676433;S
20240502;095949;308.7;160;10255676434;S
20240502;095949;308.7;70;10255676435;S
20240502;095949;308.7;20;10255676436;S
20240502;095949;308.7;20;10255676437;S
20240502;095949;308.7;220;10255676438;S
20240502;095949;308.7;10;10255676439;S
20240502;095949;308.7;100;10255676440;S
20240502;095949;308.7;10;10255676441;S
20240502;095949;308.7;850;10255676442;S
20240502;095949;308.7;30;10255676443;S
20240502;095949;308.7;30;10255676444;S
20240502;095949;308.7;100;10255676445;S
20240502;095949;308.7;50;10255676446;S
20240502;095949;308.7;80;10255676447;S
20240502;095949;308.7;10;10255676448;S
20240502;095949;308.7;40;10255676449;S
20240502;095949;308.7;10;10255676450;B
20240502;095949;308.7;10;10255676451;B
20240502;095949;308.7;10;10255676452;B
20240502;095949;308.7;10;10255676453;B
20240502;095949;308.7;10;10255676454;B
20240502;095949;308.7;10;10255676455;B
20240502;095949;308.7;20;10255676456;B
20240502;095949;308.7;10;10255676457;B
20240502;095949;308.7;40;10255676458;B
20240502;095949;308.7;50;10255676459;B
